doc,target
"Good day, We are a trading company based in Chile. We have found your Teak Wood Cabinet Living Room Furniture from Tradewheel site. we kindly ask you to send us the informations about the product of the followings specifications : General Use, type, Metal Type, How long does it take to manufacture once an order has been placed? we would be very grateful if you would contact us. yours faithfullyAlejandraAlejandra Orellana",1
"I'm looking to do a bulk order of dried flowers to bundle my own smudge sticks for sale : I will consider different dried flower options but am particularly interested in someone that can offer me organically grown - Sage, lavender, and rose petals. I will order samples of product first. Thank you",1
"Dear friend,We are a trading company based in India. We have found your M1005 M1120 Scan Head bracket / Gears assembly / Scan motor from Tradewheel site.Do you have any quality assurance certificates?Please forward any information you have available regarding the questions above.Regards and thank yougayatri hembramgayatri expoart",1
"Type : Metallurgical Coke CRI : 35max Feature : High Carbon, Low Sulfur MOQ : 20mt Porosity rate : 35-55% Other name : Cast Coke Application : Metal smelting Sizes : 20-100MM Density : 1.8-1.95g/cm3",1
Pillo-pad for iPad/phone with removable cover Calls only 0779 223 26...(click to reveal full phone number),0
"Type : clinoptilolite mineral based Use : Cattle,null,Pig,Horse,Chicken,Dog,Fish Admixture (%) : It is mixed 20 kg per 1 tonne feed Moisture (%) : max 12% Grade : minimum 85 % clinoptilolite content Packaging : 25 kg, 50 kg small bags or 1 tone of big bags on pallets, or in bulk",1
I have a beauty salon in Venetia California where are you located,1
"Large quantity (70 total) of ""After the Battle "" war magazines

Quarterly magazine from early 1970's

Good clean condition",0
"TWO wall lights for sale, recently removed by electrician, working condition. £10.00 a pair. buyer to collect. call to arrange viewing",0
"Irons numbers 3, 4, 5, 8 and D/D

£2 each",0
"This coffee sack is made of hessian with green typography on both sides. It has a fold at the bottom edge so can be opened out to double the length of the fabric if desired. It is labelled food grade jute so could be used to store potatoes or other goods safely. These make great wall hangings, use a wooden pole top and bottom, to stretch it out and weight it so it hangs straight, or would make fab seat covers, garden floor cushions or any number of useful projects. It is stitched at the sides with blanket stitch and measures 95 cms on the long side and 73 cms on the short side (width) I have another one available in a different design and colourway.",0
"CNC Machining or Not : CNC Machining Type : Rapid Prototyping,Etching / Chemical Machining,Laser Machining,Broaching,Milling,Turning,Drilling Material Capabilities : Precious Metals,Copper,Steel Alloys,Hardened Metals,Brass,Aluminum,Stainless Steel,Bronze Micro Machining or Not : Micro Machining Product name : Metal Sleeve &Bushing Process : Cnc Turning/milling/lathe process Function : aluminum block milling manufacturer service Keyword : Metal Sleeve &Bushing Logo : Laser logo ,engrave logo Material : Metal,aluminum,AISI,Brass,Carbon steel Finish : Anoding,coating,zinc plating,powder plating Feature : Durable MOQ : 500 pcs Packing : Polybag",1
Funny flim life on the road David Brent from the office trying be rockstar,0
"Dear sir, We are a trading company based in Switzerland. we are interested in Smart Led Bulb Light. What options/features do you have for the product? Please forward any information you have available regarding the questions above. Thanks",1
"Voltage : 48V Design : Brushless Wattage : > 400w Motor power : 350w to 1500w wheel size : 8inch to 18inch speed : 25km/h to 50km/h Climbing : 15degree brake : v-brake or disc brake.drum brake open size : 100mm front ,135mm rear color : golden,red ,black ,silver weight : 5.6kgs cable length : as per customer needed efficiency : >80%",1
"to let, 2 beds, kitchen diner, South Devon, No pets, weekly rates on request. 07342 0393...(click to reveal full phone number)",0
Please contact us on WhatsApp 9665556095498 regarding the pistachio product The semi-desert trading company,1
Material : BOPP Use : Carton Sealing Adhesive Side : Single Sided Adhesive : Acrylic Adhesive Type : Pressure Sensitive Feature : Waterproof Design Printing : Offer Printing,1
"Car Key Signal Blocker, Faraday Cage, RFID Key/Card Pouch. (Brand New)

Stay safe with this keyless car fob pouch featuring an inbuilt signal-isolating Faraday cage lining: Prevents RFID, NFC, Bluetooth, GPS/SatNav networks, 2,3 and 4G mobile phone and WiFi connectivity, to stop all frequency signals being sent or received by your car key fob/ phone/ credit cards.

Key fob signal jammer cages for car theft prevention: Metallic lining provides a complete signal blocker for your vehicle key fob. This prevents thieves from picking up and relaying signals from your key, to shield against break-ins and keyless ignition theft.

Protect credit cards and other electronic items: In the home or on the move, this multi-purpose protection pouch can also be used for bank cards, your entry card, key fobs and other small smart items that hold electronic data. The pouch will block all signals to and from your device, preventing remote access and control by thieves. The Faraday bag also blocks electromagnetic signals to prevent accidental data loss and corruption.

Twin-pocket design: A pouch-style cover comprises two inner sleeves; one with a metal lining for signal blocking and a further container for general storage. A secure, hook and loop fastening & high quality, waterproof, synthetic leather body keeps your key out of harm's way.

Material: PU Leather

Signal Blocking: Yes

Fastener: Hook and Loop

Dimensions: 10cm X 14cm X 2cm Approx

Brand New, can be posted if paid using PayPal.",0
"Dear Sir, We offer to to buy Building materials such as tile, Vitrified tile, wall tiles, PVC ceiling; however, we buy sizes 60 x60, 40 x40 , 60 x 30, 30 x 30, 10 x16, and ceramic tile, also include water closet [ WC] Fibre bath tubes, enamel Bath tubes, , Was hand Basin, shower Pole, Water Heater- 15 litres, 30 litres, and 50 litres, and kitchen sink.. we need genuine supplier who could stuff all in containers and export to us, payment mode will be Swift wire transfer on submission of competitive quote.",1
"To the kind attention of the export manager,It is nice to write to you. This is Mike from Netherlands. I am interested in your Fishing Lures Soft Worm Body Worm Materials.Could you please send me the quotation from this with the details as below and a sample of each colorThanks & RegardsMikeMike's Fishingadventures AmsterdamThis Message is from mobile",1
"Super comfy faux leather office chair, perfect for working from home, to be used in the office or lounge. Selling due to move. In good condition but with minor scratches. Pickup from W6.",0
"With Bed + Shape Cloth + USB Version

[Easy to Carry] --- Whether you are going for a weekend trip or a seaside holiday during the day, this travel backpack diaper bag is a perfect accessory. It can be easily converted into a baby travel bed and dressing area, so you can easily enjoy your business.

[Maximum Comfort] --- A relaxed baby backpack provides maximum comfort, and unlike the baby travel cradle, it can be easily converted into a pram storage bag.

[Versatile Use] --- This 4 in 1 baby diaper bag is essential for every parent. It can be used as a travel bed, a diaper pad, a stroller organizer, a spacious internal space and a travel cradle. With a convenient pocket, more things can be accommodated in a stylish schoolbag.

[Meet All the Needs] --- Ensuring that your baby has everything he needs is your first priority as a parent. This includes choosing the best diaper bag. This convertible portable baby bed provides protection cover for you and your little baby. Quickly and easily meets the changing needs of babies’ sleep, feeding and play time.",0
Black case full of assorted K-Nex pieces weighing 2.5kg. Excellent condition.,0
"Lego city Fire boat box and instructions

Only built once

Not played with

Lewes cash on collection only No posting

First to collect secures",0
Print on canvas White Sands by Anthony Waller 100 x 70 cm VGC,0
"Sophia Webster 'Barbie' shoes.

Unworn, size EU 25. RRP 90

Collect from Haywards Heath area",0
"Ideal for small office set up. DES-1016D 16-Port Fast Ethernet Unmanaged Desktop Switch Inexpensive Fast Ethernet solution for SOHO/SMB. Auto MDI/MDIX crossover for all ports, Store-and-forward switching scheme Full/half-duplex for Ethernet/Fast Ethernet speeds. IEEE 802.3x Flow Control. Plug-and-play installation.Ideal for Basic Networking Tasks. Easily expand network by adding more computers or devices with speeds up to 200 Mbps per port in full-duplex mode. Auto-Sensing 10/100 Ports. 802.3x flow control on each port . 802.1p priority queues for QoS. Supports IEEE802.3az EEE which enables reduction power consumption and costs. Used but in full working condition.",0
Limited Edition 'A Charm of Goldfinches' Royal Doulton Collector's Plate by Mark Chestow £3.00 Seaford 07504 6305...(click to reveal full phone number),0
working ORDER 7KG WHITE CAN BEE SCEN WORKING,0
Hi I want to buy 3 pcs how much will shipping cost to Ireland,1
Hello!  This is Bret from the US. We are a apron selling company currently looking for new supplies. Please send us your best designs and catalogues.,1
"At Contemporary Curtains we specialize in custom made pieces. All our work is carried out by skilled tailors using professional machinery.
Whether you’re looking for made to measure or bespoke curtains, you will find a huge choice at Contemporary Curtains!!! We have an extensive range of designs and colors to choose from. If there is a certain design or style you are looking for, we can possibly help you by customizing our products according to your requirements. We also offer scatter cushions in different sizes to match or contrast your curtains.
Instagram: Contemporarycurtains1
Facebook: Contemporary curtains
Google search : Contemporary Curtains",0
"Hello, My name is Barbara Couron, purchasing agent for RESONEIGHT HOME PRODUCTS in the USA. Our company director has asked me to acquire quotations for your PLUSH TOY PACIFIER, ELEPHANT. We are a company that sells a variety of home products and are expecting to reach 2.5 million dollars in sales in 2019. We wish to expand our product range to include baby products and create a profitable partnership between your company and ours. We have been researching different companies in China that manufacture ANIMAL PACIFIERS. I believe that your company could be a great supplier for this item. We have a few questions that we would like you to please answer. 1. What type of packaging do you usually use for this product? 2. How long does it take to manufacture and ship once the order has been placed? 3. What is the cost per unit at MOQ of 300 and MOQ of 400? 4. Are you willing to ship the units to another Chinese supplier located in Shijianzhuang, Hebei, since I intend to bundle this item with another product. If so, what is the cost of shipping and how many days are required to arrive at that city? 5. What methods of payment do you accept for the full order? 6. Is it possible to put our company logo on your product? If so, what is the cost/piece? We would be very grateful if you would contact us with answers to the above questions as well as any additional policies that we may need to know. We would also like to discuss with you further about sending a sample of this product. We are hopeful that we can start a mutually beneficial relationship. With Kind Regards, Barbara Couron, Purchasing Assistant RESONEIGHT HOME PRODUCTS, 45 Richwood Mountain Rd, Drasco, AR 72530, USA",1
julia Donaldsons room on the broom with cd and other songs hardback excellent condition,0
"Hi, dear sir/madam,It is nice to write to you. This is sultan from Pakistan. I am interested in adding your back pencil felt pen drawing CD bag stationery set to my inventory.May I know more information about product such as : Color,Model Number,Paper Type,Do you have any quality assurance certificates?I'm looking forward to hearing from you soon.Regard With Thankssultanburhan sultan cloth house",1
Vintage lace 1965 very long train. Small size. Could deliver locally. Make an offer.,0
"Yarn Type : Spun Pattern : Dyed Style : Ring Spun Technics : Ring Spun Feature : Anti-Insects,Anti-Pilling,High Tenacity,Flame Retardant Use : Knitting,Weaving Twist : Standard Twisted Evenness : Average Yarn Count : Customized Strength : Standard Type : 100% Solution Dyed Acrylic Yarn MOQ : 2 Tons Usage : Socks, Clothes, T Shirt, Etc Twist : Customized Certification : ISO9001,CE Samples : Available Packing : Plastic Bag, Carton Box Delivery : 15-25 days",1
"Hi,  Good day!   Were looking for high end shampoo and conditioner bottles, ideally gold if you can, but other colors will do too, any size from 200ml, any materials,  small quantity, 100 pcs per style (around 500 to 700), is it ok?  Would you be comfortable starting off with a small batch in the beginning?  Do you have skype ID to explain more details?  Thanks!",1
"Old Times, American Steam Engine, print on canvas on wooden frame. 90 cms wide by 60 cms deep. The frame is 1 inch deep, or 2.5 cms. This picture was given as a gift, and has only been unwrapped to take a picture so it is in really good condition.",0
"As new Fiido d4s e bike with added schwalbe tyres and front shimano disc brake, plus mudguards.Restricted speed can be overidden if required.",0
"Caravan is in amazing condition for its age, it comes complete with full awning. Fixed bed, end bathroom, Gas cooker, Microwave, new cutlery, cups, plates, kettle ect (all you need is bedding) Please get in contact for more pics and details \u00A34600 ono",0
"YACHTING BOOTS SIZE 8 NEW NEVER WORN

OTHER WATER/JET SKI AND SAILING STUFF FOR SALE

STAN 079 726 124 69",0
"Hi,Im interested in your product PANTS MAXI 52X3 JUMBO IHR, I would like some more details : What is the best price you can offer?I look forward to your reply",1
"Brand New Hidden Dual Motor Electric Glass Desk with Integrated Drawer/ Wireless Charger/ 3x USB Ports

NOW IN STOCK

Tempered Scratch Resistant Glass Top with Touch Controls (4 Memory Settings/ Auto timer lock function) Sturdy Smooth Powder Coated Steel Frame

Dimensions 120(W) x 60(D) x 73-119(H) cm

Only tempered glass sit stand table on the market to boast a 10 Watt Wireless Charger (charging works with phone case on too)/ Dual Hidden Motors

3 x 5 Volt 3.5 Amp USB Ports

Quiet Hidden Dual Electric Motors (Max Load 120kg & 2.9cm/s Height Adjustment/",0
"CAS No. : 69912-79-4 Other Names : zeolite ZSM-5 MF : Sio2, Al2O3 EINECS No. : 215-684-8 Purity : 99 + Type : Adsorbent Usage : Water Treatment Chemicals, Textile Auxiliary Agents, Petroleum Additives, Electronics Chemicals Product Name : Carcking catalyst Zeolite ZSM-5 for Oil refinery Appearance : Powder or pellets or Sphere Keywords : zeolite ZSM-5 If/When ratio : 25, 38, 50, 80 Ammonia absorption values : More than 120 mg Application : oil refine, cracking catalyst EINECS No : 5-684-8 ZSM-5 size : 1-2mm, 2-3mm, 4-6mm",1
"Sturdy and lightweight grey wicker Moses basket with super soft, plush blue dot dimple fabric, on a rocking stand.

The basket features an adjustable hood to keep bright sunlight out of sensitive eyes and off delicate skin.

Suitable from birth to a maximum weight of 9 kg (or until baby begins to roll over, pull themselves up or sit unaided).

Comes complete with a removable hood, padded liner that covers the interior walls of the basket, two carry handles, coverlet, and a firm, foam mattress.",0
were planning to offer to goverment & companies. If you give us good price then we can make a good long-term relationship with you.  Current customer buy a 60 ton of Antimony Ingots.,1
size 16in high or 40cm stainless steel ideal bed side lamp retro looking on off switch is on cable in excellent cond in full working order collection only sorry will not post,0
Beegees there life story and one night only concert on blue ray never used,0
Parts : Trailer Suspension Product Name : Trailer Parts Quality : High Performance Warranty : Working Packing : Neutral Packing Delivery : As Earliest,1
"Microwave Replacement Large Glass Turntable Plate
-To fit all makes of Microwave oven
Universal fit
-Fits all microwaves with a 320mm turntable
-Has 3 small pips indentations
-Indentations are on the base of plate and enable it to sit securely on the centre support.
-Measures: 320mm / 13"" Diameter
-Perfectly fine and ready to use
-£8.00",0
Cream coloured Metal Headboard for single bed. Excellent condition. £25. Tel: 01903 8146...(click to reveal full phone number),0
"Dear Sirs,  I wish you have a very nice day.  we are one of the biggest importers of grains and spices in our market and  we want to import mono sodium glutamate from your company.  Specification : -mono sodium glutamate -60mesh or 40 mesh -purity 40% packing : 200g*40*2bags/cartons 400g*20*2bags/cartons  how much is the price of ton c&f to aden port?  and have you ever exported mono sodium glutamate to Yemen??and if you did plz tell me kindly your buyers names and cartons photos so that we can recognize your quality in our market.   I wait your reply soon .  ++++ Best Regards ++++    Marzook  ALMOFEED FOR IMPORT FOODSTUFF AND SPICES ALawadi street , Taiz city , Republic Of Yemen  mobile =00967-733926151(WHATSAPP)",1
Position : Fender Material : Iron Product name : Fenders For Camaro From 2015 To 2018 With Iron Material Year : 2015-2018 Car Model : Chevrolet Camaro Color : black Installation : Easy Installation Front Bumper,1
"Howdy, Me interested your product Hot Sale Premium Roast a Bulk Coffee arabica price, how could enviarme more information? I hope your response.",1
"Type : Cleaning Brush Usage : Tattoo Material : Nylon Style : Hand Feature : Eco-Friendly Name : ESD Professional 5PCS Tattoo Machine Tube Tip Cleaning Brushes Kit Usage : Great for cleaning paint spray guns,tattoo equipment,airbrushes Material : Nylon+Stainless Steel Size : Can be customized Color : As Photo Terms Of Payments : T/T,L/C The Capacity of Production : 500,000 per month Delivery Time : 30 days after receive the deposit Packing : Bulk packing or as your request MOQ : 1000Sets.OEM is welcomed.",1
"Hi Dear,It is nice to write to you. This is AHMED DJEMAI from Algeria. I am interested in placing your left hand drive 250cc gasoline mini truck on the market.Could you please send me the quotation from this with the details as below : emission standard,fuel type,What is the minimum order quantity?Thank you very much for taking the time to answer my questions.Regard With ThanksAHMED DJEMAIsima motors",1
"Childs high chair in perfect, as new condition including removable tray and adjusting backrest.
Only used for visiting grandchildren a few times.
For collection in NR95",0
"Solid Jali Indian solid wood Dining table and 6 chairs, and matching sideboard

Can be delivered for free, if local",0
Quantum Pro. Stop Watch.Requires New Battery,0
"2 Disney's High School Musical DVDs
*High School Musical Encore Edition
*High School Musical Remix
Great entertainment
All original discs
Great condition
Collection from Sandiacre or add postage of £4.20",0
would like to know price on 44110-60212 for toyota lc hdj 80 1995 european sold,1
"250mm blade and works fine - it's under warranty, so we would have taken it back if it had any problems.

It is a bit smaller than we expected so have bought a larger one.",0
Hello This is Motahar. i am interested to by 5000 meter 100% acrylic 7/7 tWill fabric. which GSM will be over 300. Can you pls give me factory price,1
"Dear Sir/Madam, This is Farman Shah from PK. Im looking for products with the following specifications :",1
"19 Solid wood light oak internal doors, excellent condition. Collection only.",0
"The HoCo® Hob Cover is a powder-coated aluminium tray that covers the whole hob. It is a simple yet effective idea that will transform the look of your kitchen. HoCo® is a safe, flat surface to put hot, heavy dishes on but protect it with a cloth to keep it looking as good as new. Never use your HoCo® as a chopping board unless you like the ""well-used look"", (it isn't scratch resistant), treat it as you would a nice piece of furniture. Take a look at www.designal.co.uk or get in touch for available sizes, colours and more info. Answer machine 0808 164 23...(click to reveal full phone number) Also available on eBay - see website for details!",0
"Interface : WIFI ,USB, COM, PS/2, LPT, VGA Color : Black/white Memory : DDRIII 1066/1333 4GB CPU : Intel Celeron Processor J1800 Resolution : 1024*768 (max) Packing Size : 440*375*305MM HDD/SDD : 64G SSD Display : 15 inch LED Display Touch Panel : Taiwan 5 Resistive of industrial touch screen and control card",1
"This is a Multico scroll saw. 22"" of depth from the back to the blade. Comes with spare blades.

I've had this from new and used it irregularly for all that time. It is in good working condition.

A few years ago, the switch, which was plastic, decayed and broke, as most plastic things do over time. I was unable to get a replacement as they were no longer made to fit that item. So I repaired it with a switch that I had in my shed. You can see this in the photographs. It has worked successfully since then and so I foresee no future issues.

If that puts you off, then I am sorry. The item still has a good paint job and no rust in the body of the machine. You can see it running. Actually I made a video which I will try to upload for you to see. Unfortunately, Friday-Ad don't offer this option at the moment, but they do allow me to link to YouTube, so I put the video there: https://youtu.be/a3f0wminiI4

Please copy and paste this url into your browser.

I am aware there is some surface rust on the plate, but this is mostly rust dust, as the saw has been stored in the shed for years. A quick rub over with some sandpaper will get rid of that. You will see this is true when you come to look.

The item is in Cheddar: Please email or call to come and take a look.

Obviously, in today's climate we need to be careful about proximity. So if we both wear masks and work/chat at a distance, we should be ok. I can put the machine in a big plastic bag for you to take home. We will put the money in a bag. If we leave both for 3-4 days before opening again, we should both be safe.

Just as an aside, I looked on eBay and there is an 18"" one for £60 but you have to collect it yourself. So I don't think this is too much for a bigger machine.",0
"Extra wide fitting gents black M&S shoes lace up style lightly worn.
Size: 10 extra wide",0
"Product name : accesorios nissan navara Description : navara accessories,np300 navara body kit,navara roof rack Material : aluminum Color : silver Car Model : Nissan navara np300 MOQ : Depends on customers demands on navara body kit,navara accessories Package : 1pc/ctn Payment Terms : Paypal/ T/T /Western Union quality : 100% tested More design for : ranger, everest,hilux revo/vigo, isuzu dmax, mazda bt50",1
Large custom made fibre glass anchor over 6ft tall ideal for advertising a real head turner,0
"Material : Aluminum Alloy Color : Black,silver Used for : Tacoma Product name : High quality Aluminium alloy car roof rack rail bar for Tacoma Feature : Installation Package : Standard Carton Box Style : SUV Accessories",1
"STEPHEN KING'S THINNER DVD....RARE AND DELETED

Cult classic Movie Starring Robert John Burke and Joe Mantegna.

Excellent Condition....Only £4

Please call or text me on 0777 85393...(click to reveal full phone number)",0
"pair of wrought iron gates, each 4ft wide by 3ft High, in need of painting.",0
"Size 50-57 cm 19.75- 22.5"" in Red/Black dragon design Flames never been used in Box with instructions owners Manual and additional foam pads. ideal ladies, teens",0
Hello Please quote for Binoculars with following specifications : - 12x42 Binoculars - Weight only 1.2 pounds - 42mm large objective lens - 321ft/1093yds large field of view  Thank you.,1
"Bosch GKS65 1200W 190mm Electric Circular Saw

3pin UK 110V Mains Electric

Good condition , some marks and scratches.

USED

Weight 3Kg

Will post anywhere.

UK preferred payment by Bank Transfer.",0
A pair of size 11 Safety boots brand new and never worn,0
"LIVE AID 4 DVD DISC BOX SET - OVER 10 HOURS OF FOOTAGE

Rare and Out of Print/Deleted now.....Excellent Condition

Only £39.00

Please text or call 0777 85393...(click to reveal full phone number)

Worthing area",0
"Hello Star Lens,  How are you?  We found your link online. We are interested in making custom contact lens. Is this possible? Is there a MOQ? I have attached our company profile.",1
Hello I am looking for for plastic easter egg toys for kits party for age 3+. Do you do OEM products? I want atleast EN71 and ASTM certification for these. Send your company profile with complete details. Thanks,1
"H Samuel collection, from 1980's - approx 18"" high. She has long golden hair and dressed in a pretty floral dress. Still has protective wrapping on hands and with original box. In perfect condition",0
"Hi, Im interested in your product 13pcs high quality math geometry stationary set, I would like some more details.I look forward for your reply. Regards",1
"size 6 1/2, worn only two times due to wrong size hence in mint condition.",0
"RODDY DOLL 21. is a walking doll, she should cry but doesn't at the moment but I am sure that could be rectified.",0
Base Material : FR-4 Surface Finishing : oxidation Sealed Type : Sealed color : red same port : yes with balance function : yes short-circuit protection : yes Over discharge protection : yes Usage : titanate battery pack Application : electroc scooter Over current protection : yes Sample/oem/odm.... : Acceptable,1
Protective cover - for duvets pillows sheets etc - large - zip,0
"I bought this very attractive and expensive Hugo Boss 100% Solbiati pure linen fabric jacket new and it has never been worn.
It is Italian made with all the refinements expected in high class tailoring, including beautifully lined sleeves and pockets.
Solbiati fabrics designed specifically for making unique garments, in the finest natural raw materials, using expertise developed over many years, for the best garment manufacturers.

UK Size 38R
Buyer to collect please.",0
"Hi, Im interested in your product Pilot Hi Tecpoint V5 And V7 New Ballpoint Pens, I would like some more details. I look forward for your reply. regards, Kevin TeixeiraThis Message is from mobile",1
"A pair of table lamps with turquoise color, one year old, mint condition. Pay on collection .

Tel: 0759 88842...(click to reveal full phone number)",0
"Hi there,It is nice to write to you. This is isa from Mozambique. I am interested in adding your Stainless Steel chafing dishes for hotel to my inventory.May I know more information about product such as : Material,Size,Dimension,What is the product-per-unit cost including shipping via Air Express to the Mozambique?Thank you very much for taking the time to answer my questions.Regards and thank youisaEloin",1
"Hello dear sir,It is nice to write to you. This is Masry from Egypt. I am interested in placing your raw ginned cotton with low by manufacturer on the market.Could you please send me the quotation from this with the details as below : Strength,Type,Product Type,What is the lowest price you can offer?Im looking forward to hearing from you soon.Thanks/RegardsMasryActico Trade",1
"Hi, i'm interested in your product tissues polypropylene bags sealer Empty with valve multiwalls 20 kg the 50 kg. I would like some more details. aguardo the your return.",1
"2 quality Leather bags for sale, one green, one red. Each has only been used once, so still as good as new. £40 each. Please ring after 6pm.",0
"Vintage Flashmaster Coronet '50's Bakelite camera.

Used, a bit of outside nicks. Need some TLC !

no case",0
"very original solid pine Victoriana round table and 4 chairs purchased from the shop in Southsea, very solid and authentic

Make me an offer , anchorage park area",0
"Pearson Edexcel History GCSE book a great help for anyone studying GCSE history, in great condition.",0
USED YONEX ISOMETRIC 653 VF RACKET AND CASE,0
"Hi Seller,We are a trading company based in Pakistan. We are interested in your High Quality Recyclable Kraft Paper, so we contact you through Tradewheel.We kindly ask you to send us the informations about the product of the followings specifications : Size,Pulp Material,Color,What types of packaging do you usually use for this product?We are waiting for your reply.Thank you for your timeAhmedAhmed Khawaja",1
Nike Air Force 1 07 - Space Jam White (UK8) brand new with original box. (Can post for a fee) Feel free to ask any questions. Check my other trainers. Thanks,0
Large size (22in). Immaculate condition. Smoke and pet free home.,0
"Howdy, Me interested your product New stock arrival you up Networks wireless CP, could enviarme more information? I hope your response. robert Mendez Red",1
